nu	uc	ur	ul
1740	0.5036	0.0067	0.2807
2057	1.0000	0.0163	0.7774
2155	1.5083	0.0258	1.2891
2201	1.9978	0.0350	1.7833
2231	2.5000	0.0443	2.2950
2251	2.9882	0.0535	2.7949
2266	3.4775	0.0625	3.2983
2280	4.0033	0.0724	3.8554
2292.9	4.500	0.0818	4.3861
2320	5.113	0.0940	5.123
2321	5.110	0.0940	5.121
2322	5.107	0.0940	5.118
2323	5.102	0.0940	5.119
2324	5.094	0.0939	5.109
2325	5.083	0.0937	5.1
2326	5.070	0.0935	5.091
2327	5.055	0.0933	5.082
2329	5.021	0.0927	5.055
2329.8	5.003	0.0924	5.041
2331	4.9925	0.0923	5.0350
2332	4.9651	0.0918	5.015
2333	4.9432	0.0914	4.9959
2334	4.9288	0.0911	4.973
2335	4.8900	0.0905	4.95
2336	4.8600	0.0901	4.929
2337	4.8000	0.0897	4.91
2338	4.8400	0.0897	4.883
2339	4.7800	0.0887	4.856
2343	4.6300	0.0861	4.715
2346	4.539	0.0844	4.633
2350	4.393	0.0818	4.496
2353	4.291	0.0800	4.405
2358	4.100	0.0766	4.232
2360	4.033	0.0753	4.163
2370	3.664	0.0687	3.842
2380	3.326	0.0627	3.486
2390	3.024	0.0572	3.194
2400	2.757	0.0524	2.935
2430	2.145	0.0413	2.337
2470	1.621	0.0317	1.825
2550	1.064	0.0214	1.278
2790	0.500	0.0109	0.721
3200	0.248	0.0050	0.468